DATE,AWND,SNOW,TMAX,TMIN
1/12/2019,9.84,0,39,30
2/12/2019,8.5,1.3,37,31
3/12/2019,7.16,0.3,36,30
4/12/2019,5.37,0,39,32
5/12/2019,9.4,0,42,36
6/12/2019,7.38,0,50,34
7/12/2019,6.93,0,38,30
8/12/2019,2.68,0,46,28
9/12/2019,4.47,0,55,42
10/12/2019,6.93,0,58,39
11/12/2019,6.26,0.2,40,31
12/12/2019,4.7,0,36,26
13/12/2019,5.82,0,48,33
14/12/2019,6.04,0,56,45
15/12/2019,9.62,0,49,37
16/12/2019,3.8,0,37,33
17/12/2019,8.72,0,35,32
18/12/2019,8.95,0.7,36,21
19/12/2019,10.51,0,25,16
20/12/2019,6.04,0,33,22
21/12/2019,2.91,0,35,23
22/12/2019,4.7,0,46,30
23/12/2019,4.7,0,57,41
24/12/2019,5.82,0,47,36
25/12/2019,3.58,0,47,32
26/12/2019,5.82,0,46,36
27/12/2019,4.47,0,54,46
28/12/2019,4.03,0,51,43
29/12/2019,4.92,0,44,39
30/12/2019,12.75,0,41,37
31/12/2019,5.14,0,45,36
